=== KEYSTROKE LOG ===
index,key,type,elapsed_ms,flight_time_ms,word_index,input_snapshot
127,SPACE,char,52982.600,52982.600,,247.000
128,e,char,54185.800,54185.800,,1203.200
129,c,char,54399.500,54399.500,,213.700
130,Backspace,backspace,55027.300,,55027.300,627.800
131,e,char,55547.200,55547.200,,519.900
132,v,char,55795.400,55795.400,,248.200
133,e,char,56009.200,56009.200,,213.800
134,SPACE,char,56707.700,56707.700,,698.500
135,c,char,58066.500,58066.500,,1358.800
136,l,char,58293.500,58293.500,,227.000
137,o,char,58471.700,58471.700,,178.200
138,u,char,58723.700,58723.700,,252.000
139,d,char,59277.500,59277.500,,553.800
140,SPACE,char,59863.400,59863.400,,585.900

=== FLIGHT TIME ANALYSIS ===
from_key,to_key,flight_time_ms,type
w,l,371.600,char
l,a,483.900,char
a,k,267.000,char
k,Backspace,824.600,backspace
Backspace,Backspace,170.600,backspace
Backspace,Backspace,322.200,backspace
Backspace,a,589.100,char
a,l,1347.700,char
l,k,212.000,char
k,SPACE,595.500,char
SPACE,o,496.200,char
o,u,207.200,char
u,r,400.700,char
r,SPACE,287.300,char
SPACE,w,772.100,char
w,h,217.000,char
h,i,171.800,char
i,l,202.000,char
l,e,177.700,char
e,SPACE,250.000,char
SPACE,o,571.800,char
o,v,557.300,char
v,e,220.100,char
e,r,171.900,char
r,SPACE,201.500,char
SPACE,t,742.000,char
t,w,207.500,char
w,p,258.100,char
p,Backspace,931.500,backspace
Backspace,i,307.800,char
i,Backspace,623.600,backspace
Backspace,o,239.700,char
o,SPACE,574.500,char
SPACE,d,459.400,char
d,a,115.100,char
a,y,2611.200,char
y,SPACE,619.700,char
SPACE,m,779.100,char
m,u,197.600,char
u,c,261.200,char
c,h,214.500,char
h,SPACE,267.200,char
SPACE,g,868.900,char
g,r,239.100,char
r,o,249.800,char
o,e,197.900,char
e,Backspace,746.300,backspace
Backspace,w,310.800,char
w,SPACE,272.200,char
SPACE,t,622.200,char
t,h,197.200,char
h,a,129.600,char
a,n,625.600,char
n,SPACE,206.200,char
SPACE,g,903.700,char
g,o,400.800,char
o,SPACE,263.200,char
SPACE,l,638.200,char
l,e,705.900,char
e,f,270.100,char
f,t,168.000,char
t,SPACE,268.000,char
SPACE,q,1397.800,char
q,w,404.200,char
w,i,297.800,char
i,Backspace,730.500,backspace
Backspace,Backspace,167.900,backspace
Backspace,Backspace,161.800,backspace
Backspace,w,650.200,char
w,i,296.100,char
i,t,278.100,char
t,h,190.100,char
h,SPACE,267.800,char
SPACE,s,782.200,char
s,o,450.700,char
o,u,211.100,char
u,t,276.800,char
t,h,201.400,char
h,SPACE,304.800,char
SPACE,n,683.300,char
n,e,223.900,char
e,e,144.200,char
e,d,172.000,char
d,SPACE,265.900,char
SPACE,t,782.000,char
t,h,198.000,char
h,s,294.300,char
s,e,209.400,char
e,s,632.300,char
s,SPACE,1096.800,char
SPACE,w,1149.600,char
w,o,261.900,char
o,u,209.900,char
u,l,219.900,char
l,d,189.400,char
d,SPACE,230.800,char
SPACE,o,708.000,char
o,r,278.100,char
r,SPACE,259.700,char
SPACE,y,712.200,char
y,o,259.700,char
o,u,250.700,char
u,SPACE,1060.700,char
SPACE,j,346.900,char
j,u,170.400,char
u,s,144.700,char
s,t,745.300,char
t,SPACE,340.000,char
SPACE,t,428.000,char
t,h,166.300,char
h,a,117.700,char
a,t,170.100,char
t,SPACE,392.600,char
SPACE,w,401.300,char
w,a,220.100,char
a,l,320.500,char
l,k,328.000,char
k,SPACE,429.700,char
SPACE,e,523.800,char
e,a,238.000,char
a,r,246.000,char
r,t,226.000,char
t,h,191.800,char
h,SPACE,606.600,char
SPACE,g,367.800,char
g,o,269.800,char
o,SPACE,247.000,char
SPACE,e,1203.200,char
e,c,213.700,char
c,Backspace,627.800,backspace
Backspace,e,519.900,char
e,v,248.200,char
v,e,213.800,char
e,SPACE,698.500,char
SPACE,c,1358.800,char
c,l,227.000,char
l,o,178.200,char
o,u,252.000,char
u,d,553.800,char
d,SPACE,585.900,char

=== SUMMARY ===
metric,value
wpm,23
raw_wpm,26
accuracy_pct,87
correct_chars,114
incorrect_chars,17
total_keystrokes,131
duration_s,60
total_backspaces,10
total_chars,131
avg_flight_time_ms,427.596
min_flight_time_ms,115.100
max_flight_time_ms,2611.200
median_flight_time_ms,278.100

=== WPM OVER TIME ===
time_s,wpm,raw_wpm,accuracy_pct,cumulative_errors
1,12,36,33,2
2,12,24,50,2
3,8,16,50,2
4,9,15,60,2
5,12,17,71,2
6,16,20,80,2
7,17,21,83,2
8,21,24,88,2
9,23,25,89,2
10,24,26,91,2
11,24,26,92,2
12,23,26,88,3
13,21,25,85,4
14,21,25,86,4
15,22,25,87,4
16,20,23,87,4
17,19,22,87,4
18,19,22,88,4
19,20,22,89,4
20,20,23,89,4
21,21,23,90,4
22,20,23,88,5
23,20,23,89,5
24,21,24,90,5
25,21,24,90,5
26,22,24,90,5
27,21,24,91,5
28,22,24,91,5
29,22,24,91,5
30,21,24,87,8
31,20,23,87,8
32,20,23,87,8
33,21,24,88,8
34,21,24,88,8
35,22,24,89,8
36,22,25,89,8
37,22,25,89,8
38,22,25,88,10
39,22,25,86,11
40,21,25,85,12
41,21,25,86,12
42,22,25,86,12
43,22,25,87,12
44,22,25,87,12
45,22,25,87,12
46,22,25,88,12
47,22,25,88,12
48,23,26,88,12
49,23,26,89,12
50,23,26,89,12
51,24,26,89,12
52,24,27,90,12
53,24,27,90,12
54,24,26,90,12
55,24,26,89,13
56,23,26,88,15
57,23,26,86,17
58,22,26,86,17
59,23,26,87,17
60,23,26,87,17
